SampleTest01,2,Riff_Sound_VHjump02_01_wav_pcmenc,14136,bank35
SampleTest01,3,Riff_Sound_VHjump02_02_wav_pcmenc,5211,bank36
SampleTest01,4,Riff_Sound_VHdoctor_01_wav_pcmenc,14291,bank32
SampleTest01,5,Riff_Sound_VHdoctor_02_wav_pcmenc,15088,bank33
SampleTest01,6,Riff_Sound_VHdoctor_03_wav_pcmenc,14423,bank34
SampleTest01,7,Riff_Sound_VHshriek_01_wav_pcmenc,15027,bank50
SampleTest01,12,Riff_Sound_Excellent20_01_wav_pcmenc,9341,bank36
SampleTest01,13,Riff_Sound_Excellent30_01_wav_pcmenc,7093,bank37
SampleTest01,14,Riff_Sound_Excellent40_01_wav_pcmenc,15609,bank30
SampleTest01,15,Riff_Sound_Excellent50_01_wav_pcmenc,14957,bank31
SampleTest02,2,Riff_Sound_Excellent10_01_wav_pcmenc,12776,bank38
SampleTest02,7,Riff_Sound_SimpsonsSucked_01_wav_pcmenc,14270,bank29
SampleTest02,8,Riff_Sound_Silicon01_01_wav_pcmenc,7523,bank37
SampleTest02,9,Riff_Sound_Silicon02_01_wav_pcmenc,6525,bank39
SampleTest02,10,Riff_Sound_Silicon03_01_wav_pcmenc,7803,bank39
SampleTest02,11,Riff_Sound_Austin01_01_wav_pcmenc,16145,bank28
SampleTest02,12,Riff_Sound_Austin02_01_wav_pcmenc,11528,bank27
SampleTest02,13,Riff_Sound_Austin02_02_wav_pcmenc,9242,bank3
SampleTest02,14,Riff_Sound_Austin03_01_wav_pcmenc,15457,bank26
SampleTest02,15,Riff_Sound_Austin03_02_wav_pcmenc,3226,bank38
SampleTest03,2,Riff_Intro_ACDC_01_wav_pcmenc,15162,bank25
SampleTest03,3,Riff_Intro_ACDC_02_wav_pcmenc,8366,bank40
SampleTest03,4,Riff_Intro_Hulk_01_wav_pcmenc,14663,
SampleTest03,5,Riff_Intro_Hulk_02_wav_pcmenc,15117,
SampleTest03,6,Riff_Intro_Hulk_03_wav_pcmenc,14876,
SampleTest03,7,Riff_Intro_Hulk_04_wav_pcmenc,1697,
SampleTest03,12,Riff_Intro_Ultimate_01_wav_pcmenc,13822,
SampleTest03,13,Riff_Intro_Ultimate_02_wav_pcmenc,14237,
SampleTest03,14,Riff_Intro_Ultimate_03_wav_pcmenc,15793,
SampleTest03,15,Riff_Intro_Ultimate_04_wav_pcmenc,12170,
SampleTest04,7,Riff_Sound_Over_01_wav_pcmenc,14557,
SampleTest04,8,Riff_Sound_Over_02_wav_pcmenc,9324,
SampleTest04,9,Riff_Sound_Commando_01_wav_pcmenc,13279,
SampleTest04,10,Riff_Sound_Commando_02_wav_pcmenc,13820,
SampleTest04,11,Riff_Death_Licence_01_wav_pcmenc,13969,
SampleTest04,12,Riff_Death_Licence_02_wav_pcmenc,7638,bank40
